Elapsed Time,Added Time,Half Time,time_key,Real,Over 2.5 Odds,1-1 Odds,2-0 Odds,0-2 Odds,1-0 Odds,0-1 Odds,0-0 Odds,Synthetic,Goal Scored,Player,Score,Back Odds,Lay Odds,Lay Stake,Back Stake,Lay,Real Stake,Synth Stake,Profit,plot_label
0,0,0,"(0, 0, 0)",3.3,2.0,7.4,10.0,,13.0,12.0,14.0,2.142152756423171,No,,0-0,3.3,2.142152756423171,55.7,36.3,Synthetic,36.3,-55.7,18.29,0'
1,0,0,"(1, 0, 0)",3.3,2.0,7.4,10.0,,13.0,,14.5,2.6245084573557356,Yes,Bobby Reid,1-0,3.3,2.6245084573557356,41.2,33.0,Synthetic,33.0,-41.2,7.38,1'
2,0,0,"(2, 0, 0)",3.3,1.37,7.4,10.0,,13.0,,,3.2045303131245837,No,,1-0,3.3,3.2045303131245837,31.4,30.7,Synthetic,30.7,-31.4,0.07,2'
3,0,0,"(3, 0, 0)",3.8,1.35,7.4,10.0,,13.0,,,3.2045303131245837,No,,1-0,3.8,3.2045303131245837,32.7,27.8,Synthetic,27.8,-32.7,4.25,3'
4,0,0,"(4, 0, 0)",3.7,1.38,7.4,10.0,,13.0,,,3.2045303131245837,No,,1-0,3.7,3.2045303131245837,32.5,28.4,Synthetic,28.4,-32.5,3.45,4'
5,0,0,"(5, 0, 0)",3.6,1.37,7.6,10.0,,14.0,,,3.300248138957816,No,,1-0,3.6,3.300248138957816,31.0,28.7,Synthetic,28.7,-31.0,1.68,5'
6,0,0,"(6, 0, 0)",3.6,1.38,10.0,10.0,,14.0,,,3.684210526315789,No,,1-0,3.684210526315789,3.6,27.9,27.5,Real,-27.9,27.5,-0.16,6'
7,0,0,"(7, 0, 0)",3.5,1.39,9.2,10.0,,12.5,,,3.4638554216867465,No,,1-0,3.5,3.4638554216867465,28.9,28.8,Synthetic,28.8,-28.9,-0.48,7'
8,0,0,"(8, 0, 0)",3.55,1.39,8.2,11.0,,12.5,,,3.4145972138098117,No,,1-0,3.55,3.4145972138098117,29.5,28.7,Synthetic,28.7,-29.5,0.21,8'
9,0,0,"(9, 0, 0)",3.45,1.41,8.2,10.5,,12.5,,,3.364858527434735,No,,1-0,3.45,3.364858527434735,29.9,29.4,Synthetic,29.4,-29.9,-0.1,9'
10,0,0,"(10, 0, 0)",3.25,1.42,8.4,10.5,,14.0,,,3.5,No,,1-0,3.5,3.25,31.4,29.4,Real,-31.4,29.4,1.37,10'
11,0,0,"(11, 0, 0)",3.3,1.43,8.4,10.5,,12.0,,,3.36,No,,1-0,3.36,3.3,30.4,30.1,Real,-30.4,30.1,-0.31,11'
12,0,0,"(12, 0, 0)",3.2,1.44,8.6,9.6,,11.0,,,3.211769698684397,No,,1-0,3.211769698684397,3.2,31.2,31.3,Real,-31.2,31.3,-0.72,12'
13,0,0,"(13, 0, 0)",3.2,1.48,8.8,9.6,,11.0,,,3.2392638036809815,No,,1-0,3.2392638036809815,3.2,31.3,31.2,Real,-31.3,31.2,-0.53,13'
14,0,0,"(14, 0, 0)",3.2,1.44,7.2,9.6,,11.0,,,2.994328922495274,No,,1-0,3.2,2.994328922495274,34.1,32.1,Synthetic,32.1,-34.1,1.32,14'
15,0,0,"(15, 0, 0)",3.2,1.44,7.2,9.6,,11.0,,,2.994328922495274,No,,1-0,3.2,2.994328922495274,34.1,32.1,Synthetic,32.1,-34.1,1.32,15'
16,0,0,"(16, 0, 0)",3.0,1.49,8.8,9.6,,11.0,,,3.2392638036809815,No,,1-0,3.2392638036809815,3.0,34.1,31.8,Real,-34.1,31.8,1.62,16'
17,0,0,"(17, 0, 0)",2.9,1.51,8.0,9.6,,11.0,,,3.1242603550295858,No,,1-0,3.1242603550295858,2.9,35.3,33.0,Real,-35.3,33.0,1.59,17'
18,0,0,"(18, 0, 0)",2.9,1.54,,9.6,,11.0,,,5.12621359223301,No,,1-0,5.12621359223301,2.9,40.5,23.1,Real,-40.5,23.1,16.59,18'
19,0,0,"(19, 0, 0)",2.84,1.54,,8.4,,9.4,,,4.435955056179775,No,,1-0,4.435955056179775,2.84,40.2,26.0,Real,-40.2,26.0,13.4,19'
20,0,0,"(20, 0, 0)",2.84,1.53,,8.4,,9.8,,,4.523076923076924,Yes,Joao Palhinha,2-0,4.523076923076924,2.84,40.4,25.6,Real,-40.4,25.6,13.99,20'
21,0,0,"(21, 0, 0)",7.6,1.15,,8.4,,,,,8.4,No,,2-0,8.4,7.6,13.3,12.2,Real,-13.3,12.2,0.83,21'
22,0,0,"(22, 0, 0)",8.8,1.13,,9.4,,,,,9.4,No,,2-0,9.4,8.8,11.4,10.9,Real,-11.4,10.9,0.27,22'
23,0,0,"(23, 0, 0)",8.8,1.13,,7.8,,,,,7.799999999999999,No,,2-0,8.8,7.799999999999999,13.0,11.7,Synthetic,11.7,-13.0,1.04,23'
24,0,0,"(24, 0, 0)",8.2,1.13,,9.6,,,,,9.6,No,,2-0,9.6,8.2,12.4,10.8,Real,-12.4,10.8,1.35,24'
25,0,0,"(25, 0, 0)",8.2,1.14,,7.8,,,,,7.799999999999999,No,,2-0,8.2,7.799999999999999,12.9,12.4,Synthetic,12.4,-12.9,0.24,25'
26,0,0,"(26, 0, 0)",8.2,1.14,,8.8,,,,,8.8,No,,2-0,8.8,8.2,12.3,11.6,Real,-12.3,11.6,0.45,26'
27,0,0,"(27, 0, 0)",7.6,1.15,,8.8,,,,,8.8,No,,2-0,8.8,7.6,13.4,11.7,Real,-13.4,11.7,1.43,27'
28,0,0,"(28, 0, 0)",7.6,1.13,,8.8,,,,,8.8,No,,2-0,8.8,7.6,13.4,11.7,Real,-13.4,11.7,1.43,28'
29,0,0,"(29, 0, 0)",7.0,1.15,,8.8,,,,,8.8,No,,2-0,8.8,7.0,14.7,11.9,Real,-14.7,11.9,2.51,29'
30,0,0,"(30, 0, 0)",7.2,1.16,,8.8,,,,,8.8,No,,2-0,8.8,7.2,14.2,11.8,Real,-14.2,11.8,2.12,30'
31,0,0,"(31, 0, 0)",7.0,1.17,,8.8,,,,,8.8,No,,2-0,8.8,7.0,14.7,11.9,Real,-14.7,11.9,2.51,31'
32,0,0,"(32, 0, 0)",7.2,1.17,,8.8,,,,,8.8,No,,2-0,8.8,7.2,14.2,11.8,Real,-14.2,11.8,2.12,32'
33,0,0,"(33, 0, 0)",6.4,1.17,,8.8,,,,,8.8,No,,2-0,8.8,6.4,16.3,12.0,Real,-16.3,12.0,3.97,33'
34,0,0,"(34, 0, 0)",6.4,1.19,,6.2,,,,,6.2,No,,2-0,6.4,6.2,16.2,15.9,Synthetic,15.9,-16.2,-0.02,34'
35,0,0,"(35, 0, 0)",6.4,1.18,,6.4,,,,,6.4,No,,2-0,6.4,6.4,15.6,15.8,Synthetic,15.8,-15.6,-0.51,35'
36,0,0,"(36, 0, 0)",6.2,1.19,,6.4,,,,,6.4,No,,2-0,6.4,6.2,16.2,15.9,Real,-16.2,15.9,-0.02,36'
37,0,0,"(37, 0, 0)",6.0,1.2,,6.0,,,,,6.0,No,,2-0,6.0,6.0,16.6,16.9,Synthetic,16.9,-16.6,-0.63,37'
38,0,0,"(38, 0, 0)",6.0,1.19,,6.0,,,,,6.0,No,,2-0,6.0,6.0,16.6,16.9,Synthetic,16.9,-16.6,-0.63,38'
39,0,0,"(39, 0, 0)",6.0,1.22,,6.0,,,,,6.0,No,,2-0,6.0,6.0,16.6,16.9,Synthetic,16.9,-16.6,-0.63,39'
40,0,0,"(40, 0, 0)",5.6,1.22,,6.0,,,,,6.0,No,,2-0,6.0,5.6,18.0,17.1,Real,-18.0,17.1,0.54,40'
41,0,0,"(41, 0, 0)",5.6,1.22,,5.7,,,,,5.7,No,,2-0,5.7,5.6,17.9,17.8,Real,-17.9,17.8,-0.26,41'
42,0,0,"(42, 0, 0)",5.4,1.23,,,,,,,,No,,2-0,5.4,5.4,18.5,18.7,Real,-18.5,18.7,-0.57,42'
43,0,0,"(43, 0, 0)",5.2,1.24,,,,,,,,No,,2-0,5.2,5.2,19.2,19.4,Real,-19.2,19.4,-0.58,43'
44,0,0,"(44, 0, 0)",,1.23,,,,,,,,Yes,Christian Noergaard,2-1,,,,,Real,,,,44'
45,0,0,"(45, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,45'
45,1,0,"(45, 1, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,45+1'
45,2,0,"(45, 2, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,45+2'
45,3,0,"(45, 3, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,45+3'
45,3,1,"(45, 3, 1)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+1'
45,3,2,"(45, 3, 2)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+2'
45,3,3,"(45, 3, 3)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+3'
45,3,4,"(45, 3, 4)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+4'
45,3,5,"(45, 3, 5)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+5'
45,3,6,"(45, 3, 6)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+6'
45,3,7,"(45, 3, 7)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+7'
45,3,8,"(45, 3, 8)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+8'
45,3,9,"(45, 3, 9)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+9'
45,3,10,"(45, 3, 10)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+10'
45,3,11,"(45, 3, 11)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+11'
45,3,12,"(45, 3, 12)",,,,,,,,,,No,,2-1,,,,,Real,,,,HT+12'
46,0,0,"(46, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,46'
47,0,0,"(47, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,47'
48,0,0,"(48, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,48'
49,0,0,"(49, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,49'
50,0,0,"(50, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,50'
51,0,0,"(51, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,51'
52,0,0,"(52, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,52'
53,0,0,"(53, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,53'
54,0,0,"(54, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,54'
55,0,0,"(55, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,55'
56,0,0,"(56, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,56'
57,0,0,"(57, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,57'
58,0,0,"(58, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,58'
59,0,0,"(59, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,59'
60,0,0,"(60, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,60'
61,0,0,"(61, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,61'
62,0,0,"(62, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,62'
63,0,0,"(63, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,63'
64,0,0,"(64, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,64'
65,0,0,"(65, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,65'
66,0,0,"(66, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,66'
67,0,0,"(67, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,67'
68,0,0,"(68, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,68'
69,0,0,"(69, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,69'
70,0,0,"(70, 0, 0)",,,,,,,,,,No,,2-1,,,,,Real,,,,70'
71,0,0,"(71, 0, 0)",,,,,,,,,,Yes,Ivan Toney,2-2,,,,,Real,,,,71'
72,0,0,"(72, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,72'
73,0,0,"(73, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,73'
74,0,0,"(74, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,74'
75,0,0,"(75, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,75'
76,0,0,"(76, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,76'
77,0,0,"(77, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,77'
78,0,0,"(78, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,78'
79,0,0,"(79, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,79'
80,0,0,"(80, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,80'
81,0,0,"(81, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,81'
82,0,0,"(82, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,82'
83,0,0,"(83, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,83'
84,0,0,"(84, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,84'
85,0,0,"(85, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,85'
86,0,0,"(86, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,86'
87,0,0,"(87, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,87'
88,0,0,"(88, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,88'
89,0,0,"(89, 0, 0)",,,,,,,,,,No,,2-2,,,,,Real,,,,89'
90,0,0,"(90, 0, 0)",,,,,,,,,,Yes,Aleksandar Mitrovic,3-2,,,,,Real,,,,90'
90,1,0,"(90, 1, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+1'
90,2,0,"(90, 2, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+2'
90,3,0,"(90, 3, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+3'
90,4,0,"(90, 4, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+4'
90,5,0,"(90, 5, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+5'
90,6,0,"(90, 6, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+6'
90,7,0,"(90, 7, 0)",,,,,,,,,,No,,3-2,,,,,Real,,,,90+7'
