season,date,home_team,away_team,url
1996/1997,1996-08-19T01:00:00,Liverpool,Arsenal,https://www.xscores.com/soccer/match/liverpool-vs-arsenal/19-08-1996/1596743
1996/1997,1996-08-20T01:00:00,Leeds,Sheffield Wednesday,https://www.xscores.com/soccer/match/leeds-vs-sheffield-wednesday/20-08-1996/1596744
1996/1997,1996-08-21T01:00:00,Aston Villa,Blackburn,https://www.xscores.com/soccer/match/aston-villa-vs-blackburn/21-08-1996/1596745
1996/1997,1996-08-21T01:00:00,Chelsea,Middlesbrough,https://www.xscores.com/soccer/match/chelsea-vs-middlesbrough/21-08-1996/1596746
1996/1997,1996-08-21T01:00:00,Leicester,Southampton,https://www.xscores.com/soccer/match/leicester-vs-southampton/21-08-1996/1596747
1996/1997,1996-08-21T01:00:00,Manchester United,Everton,https://www.xscores.com/soccer/match/manchester-united-vs-everton/21-08-1996/1596748
1996/1997,1996-08-21T01:00:00,Newcastle,AFC Wimbledon,https://www.xscores.com/soccer/match/newcastle-vs-afc-wimbledon/21-08-1996/1596749
1996/1997,1996-08-21T01:00:00,Nottingham Forest,Sunderland,https://www.xscores.com/soccer/match/nottingham-forest-vs-sunderland/21-08-1996/1596750
1996/1997,1996-08-21T01:00:00,Tottenham,Derby,https://www.xscores.com/soccer/match/tottenham-vs-derby/21-08-1996/1596751
1996/1997,1996-08-21T01:00:00,West Ham,Coventry,https://www.xscores.com/soccer/match/west-ham-vs-coventry/21-08-1996/1596752
1996/1997,1996-08-17T01:00:00,AFC Wimbledon,Manchester United,https://www.xscores.com/soccer/match/afc-wimbledon-vs-manchester-united/17-08-1996/1596761
1996/1997,1996-08-17T01:00:00,Arsenal,West Ham,https://www.xscores.com/soccer/match/arsenal-vs-west-ham/17-08-1996/1596753
1996/1997,1996-08-17T01:00:00,Blackburn,Tottenham,https://www.xscores.com/soccer/match/blackburn-vs-tottenham/17-08-1996/1596754
1996/1997,1996-08-17T01:00:00,Coventry,Nottingham Forest,https://www.xscores.com/soccer/match/coventry-vs-nottingham-forest/17-08-1996/1596755
1996/1997,1996-08-17T01:00:00,Derby,Leeds,https://www.xscores.com/soccer/match/derby-vs-leeds/17-08-1996/1596756
1996/1997,1996-08-17T01:00:00,Everton,Newcastle,https://www.xscores.com/soccer/match/everton-vs-newcastle/17-08-1996/1596757
1996/1997,1996-08-17T01:00:00,Middlesbrough,Liverpool,https://www.xscores.com/soccer/match/middlesbrough-vs-liverpool/17-08-1996/1596758
1996/1997,1996-08-17T01:00:00,Sheffield Wednesday,Aston Villa,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-aston-villa/17-08-1996/1596759
1996/1997,1996-08-17T01:00:00,Sunderland,Leicester,https://www.xscores.com/soccer/match/sunderland-vs-leicester/17-08-1996/1596760
1996/1997,1996-08-18T01:00:00,Southampton,Chelsea,https://www.xscores.com/soccer/match/southampton-vs-chelsea/18-08-1996/1596762
1996/1997,1996-08-24T01:00:00,Aston Villa,Derby,https://www.xscores.com/soccer/match/aston-villa-vs-derby/24-08-1996/1596763
1996/1997,1996-08-24T01:00:00,Chelsea,Coventry,https://www.xscores.com/soccer/match/chelsea-vs-coventry/24-08-1996/1596764
1996/1997,1996-08-24T01:00:00,Leicester,Arsenal,https://www.xscores.com/soccer/match/leicester-vs-arsenal/24-08-1996/1596765
1996/1997,1996-08-24T01:00:00,Liverpool,Sunderland,https://www.xscores.com/soccer/match/liverpool-vs-sunderland/24-08-1996/1596766
1996/1997,1996-08-24T01:00:00,Newcastle,Sheffield Wednesday,https://www.xscores.com/soccer/match/newcastle-vs-sheffield-wednesday/24-08-1996/1596767
1996/1997,1996-08-24T01:00:00,Nottingham Forest,Middlesbrough,https://www.xscores.com/soccer/match/nottingham-forest-vs-middlesbrough/24-08-1996/1596768
1996/1997,1996-08-24T01:00:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/24-08-1996/1596769
1996/1997,1996-08-24T01:00:00,West Ham,Southampton,https://www.xscores.com/soccer/match/west-ham-vs-southampton/24-08-1996/1596770
1996/1997,1996-08-25T01:00:00,Manchester United,Blackburn,https://www.xscores.com/soccer/match/manchester-united-vs-blackburn/25-08-1996/1596771
1996/1997,1996-08-26T01:00:00,Leeds,AFC Wimbledon,https://www.xscores.com/soccer/match/leeds-vs-afc-wimbledon/26-08-1996/1596772
1996/1997,1996-09-02T01:00:00,Sheffield Wednesday,Leicester,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-leicester/02-09-1996/1596773
1996/1997,1996-09-04T01:00:00,AFC Wimbledon,Tottenham,https://www.xscores.com/soccer/match/afc-wimbledon-vs-tottenham/04-09-1996/1596782
1996/1997,1996-09-04T01:00:00,Arsenal,Chelsea,https://www.xscores.com/soccer/match/arsenal-vs-chelsea/04-09-1996/1596774
1996/1997,1996-09-04T01:00:00,Blackburn,Leeds,https://www.xscores.com/soccer/match/blackburn-vs-leeds/04-09-1996/1596775
1996/1997,1996-09-04T01:00:00,Coventry,Liverpool,https://www.xscores.com/soccer/match/coventry-vs-liverpool/04-09-1996/1596776
1996/1997,1996-09-04T01:00:00,Derby,Manchester United,https://www.xscores.com/soccer/match/derby-vs-manchester-united/04-09-1996/1596777
1996/1997,1996-09-04T01:00:00,Everton,Aston Villa,https://www.xscores.com/soccer/match/everton-vs-aston-villa/04-09-1996/1596778
1996/1997,1996-09-04T01:00:00,Middlesbrough,West Ham,https://www.xscores.com/soccer/match/middlesbrough-vs-west-ham/04-09-1996/1596779
