,URL,Goal Type,Score,Player,Elapsed Time,Added Time
0,https://www.xscores.com/soccer/match/burnley-vs-manchester-city/11-08-2023/2139422,Regular goal,0-1,Erling Haaland,4,0
1,https://www.xscores.com/soccer/match/burnley-vs-manchester-city/11-08-2023/2139422,Regular goal,0-2,Erling Haaland,36,0
2,https://www.xscores.com/soccer/match/burnley-vs-manchester-city/11-08-2023/2139422,Regular goal,0-3,Rodri,75,0
3,https://www.xscores.com/soccer/match/arsenal-vs-nottingham-forest/12-08-2023/2139430,Regular goal,1-0,Edward Nketiah,26,0
4,https://www.xscores.com/soccer/match/arsenal-vs-nottingham-forest/12-08-2023/2139430,Regular goal,2-0,Bukayo Saka,32,0
5,https://www.xscores.com/soccer/match/arsenal-vs-nottingham-forest/12-08-2023/2139430,Regular goal,2-1,Taiwo Awoniyi,82,0
6,https://www.xscores.com/soccer/match/bournemouth-vs-west-ham/12-08-2023/2139429,Regular goal,0-1,Jarrod Bowen,51,0
7,https://www.xscores.com/soccer/match/bournemouth-vs-west-ham/12-08-2023/2139429,Regular goal,1-1,Dominic Solanke,82,0
8,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428,Regular goal,1-0,Solly March,36,0
9,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428,Penalty,2-0,Joao Pedro,71,0
10,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428,Penalty,2-1,Carlton Morris,81,0
11,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428,Regular goal,3-1,Simon Adingra,85,0
12,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428,Regular goal,4-1,Evan Ferguson,90,5
13,https://www.xscores.com/soccer/match/everton-vs-fulham/12-08-2023/2139427,Regular goal,0-1,Bobby Reid,73,0
14,https://www.xscores.com/soccer/match/sheffield-united-vs-crystal-palace/12-08-2023/2139426,Regular goal,0-1,Odsonne Edouard,49,0
15,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,1-0,Sandro Tonali,6,0
16,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,1-1,Moussa Diaby,11,0
17,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,2-1,Alexander Isak,16,0
18,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,3-1,Alexander Isak,58,0
19,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,4-1,Callum Wilson,77,0
20,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425,Regular goal,5-1,Harvey Barnes,90,1
21,https://www.xscores.com/soccer/match/brentford-vs-tottenham/13-08-2023/2139424,Regular goal,0-1,Cristian Romero,11,0
22,https://www.xscores.com/soccer/match/brentford-vs-tottenham/13-08-2023/2139424,Penalty,1-1,Bryan Mbeumo,26,0
23,https://www.xscores.com/soccer/match/brentford-vs-tottenham/13-08-2023/2139424,Regular goal,2-1,Yoane Wissa,36,0
24,https://www.xscores.com/soccer/match/brentford-vs-tottenham/13-08-2023/2139424,Regular goal,2-2,Emerson Royal,45,4
25,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/13-08-2023/2139423,Regular goal,0-1,Luis Diaz,18,0
26,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/13-08-2023/2139423,Regular goal,1-1,Axel Disasi,37,0
27,https://www.xscores.com/soccer/match/manchester-united-vs-wolverhampton/14-08-2023/2139431,Regular goal,1-0,Raphael Varane,76,0
28,https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,1-0,Taiwo Awoniyi,3,0
29,https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,1-1,Gustavo Hamer,48,0
30,https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,2-1,Chris Wood,89,0
31,https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Regular goal,0-1,Yoane Wissa,44,0
32,https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Penalty,0-2,Bryan Mbeumo,66,0
33,https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Regular goal,0-3,Bryan Mbeumo,90,2
34,https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,0-1,Antoine Semenyo,3,0
35,https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,1-1,Luis Diaz,27,0
36,https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,2-1,Mohamed Salah,36,0
37,https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,3-1,Diogo Jota,62,0
38,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-1,Kaoru Mitoma,15,0
39,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-2,Pervis Estupinan,46,0
40,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-3,Solly March,51,0
41,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-4,Solly March,55,0
42,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,1-4,Hee-Chan Hwang,61,0
43,https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/19-08-2023/2139434,Regular goal,1-0,Pape Sarr,49,0
44,https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/19-08-2023/2139434,Own goal,2-0,Lisandro Martinez,83,0
45,https://www.xscores.com/soccer/match/manchester-city-vs-newcastle/19-08-2023/2139436,Regular goal,1-0,Julian Alvarez,31,0
46,https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,1-0,John McGinn,18,0
47,https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Penalty,2-0,Douglas Luiz,24,0
48,https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,3-0,Leon Bailey,51,0
49,https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,4-0,Jhon Duran,75,0
50,https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,1-0,Nayef Aguerd,7,0
51,https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,1-1,Carney Chukwuemeka,28,0
52,https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,2-1,Michail Antonio,53,0
53,https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Penalty,3-1,Lucas Paqueta,90,5
54,https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/21-08-2023/2139440,Penalty,0-1,Martin Oedegaard,53,0
55,https://www.xscores.com/soccer/match/luton-vs-burnley/03-10-2023/2139437,Regular goal,0-1,Lyle Foster,45,2
