URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/brentford-vs-arsenal/13-08-2021/319116,Brentford,Arsenal,2021-08-13T20:00:00,Regular goal,1-0,Sergi Canos,22,0
https://www.xscores.com/soccer/match/brentford-vs-arsenal/13-08-2021/319116,Brentford,Arsenal,2021-08-13T20:00:00,Regular goal,2-0,Christian Noergaard,73,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,1-0,Bruno Fernandes,30,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,1-1,Luke Ayling,48,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,2-1,Mason Greenwood,52,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,3-1,Bruno Fernandes,54,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,4-1,Bruno Fernandes,60,0
https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121,Manchester United,Leeds,2021-08-14T12:30:00,Regular goal,5-1,Fred,68,0
https://www.xscores.com/soccer/match/burnley-vs-brighton/14-08-2021/319117,Burnley,Brighton,2021-08-14T15:00:00,Regular goal,1-0,James Tarkowski,2,0
https://www.xscores.com/soccer/match/burnley-vs-brighton/14-08-2021/319117,Burnley,Brighton,2021-08-14T15:00:00,Regular goal,1-1,Neal Maupay,73,0
https://www.xscores.com/soccer/match/burnley-vs-brighton/14-08-2021/319117,Burnley,Brighton,2021-08-14T15:00:00,Regular goal,1-2,Alexis Mac Allister,78,0
https://www.xscores.com/soccer/match/chelsea-vs-crystal-palace/14-08-2021/319118,Chelsea,Crystal Palace,2021-08-14T15:00:00,Regular goal,1-0,Marcos Alonso,27,0
