Season,Date,Home,Away,URL
2023/2024,11-08-2023,Burnley,Manchester City,https://www.xscores.com/soccer/match/burnley-vs-manchester-city/11-08-2023/2139422
2023/2024,12-08-2023,Arsenal,Nottingham Forest,https://www.xscores.com/soccer/match/arsenal-vs-nottingham-forest/12-08-2023/2139430
2023/2024,12-08-2023,Bournemouth,WestHam,https://www.xscores.com/soccer/match/bournemouth-vs-west-ham/12-08-2023/2139429
2023/2024,12-08-2023,Brighton,Luton,https://www.xscores.com/soccer/match/brighton-vs-luton/12-08-2023/2139428
2023/2024,12-08-2023,Everton,Fulham,https://www.xscores.com/soccer/match/everton-vs-fulham/12-08-2023/2139427
2023/2024,12-08-2023,Sheffield United,Crystal Palace,https://www.xscores.com/soccer/match/sheffield-united-vs-crystal-palace/12-08-2023/2139426
2023/2024,12-08-2023,Newcastle,Aston Villa,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/12-08-2023/2139425
2023/2024,13-08-2023,Brentford,Tottenham,https://www.xscores.com/soccer/match/brentford-vs-tottenham/13-08-2023/2139424
2023/2024,13-08-2023,Chelsea,Liverpool,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/13-08-2023/2139423
2023/2024,14-08-2023,Manchester United,Wolverhampton,https://www.xscores.com/soccer/match/manchester-united-vs-wolverhampton/14-08-2023/2139431
2023/2024,18-08-2023,Nottingham Forest,Sheffield United,https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435
2023/2024,19-08-2023,Fulham,Brentford,https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439
2023/2024,19-08-2023,Liverpool,Bournemouth,https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438
2023/2024,19-08-2023,Wolverhampton,Brighton,https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432
2023/2024,19-08-2023,Tottenham,Manchester United,https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/19-08-2023/2139434
2023/2024,19-08-2023,Manchester City,Newcastle,https://www.xscores.com/soccer/match/manchester-city-vs-newcastle/19-08-2023/2139436
2023/2024,20-08-2023,Aston Villa,Everton,https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441
2023/2024,20-08-2023,WestHam,Chelsea,https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433
2023/2024,21-08-2023,Crystal Palace,Arsenal,https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/21-08-2023/2139440
2023/2024,03-10-2023,Luton,Burnley,https://www.xscores.com/soccer/match/luton-vs-burnley/03-10-2023/2139437
2023/2024,25-08-2023,Chelsea,Luton,https://www.xscores.com/soccer/match/chelsea-vs-luton/25-08-2023/2139451
2023/2024,26-08-2023,Bournemouth,Tottenham,https://www.xscores.com/soccer/match/bournemouth-vs-tottenham/26-08-2023/2139442
2023/2024,26-08-2023,Arsenal,Fulham,https://www.xscores.com/soccer/match/arsenal-vs-fulham/26-08-2023/2139455
2023/2024,26-08-2023,Brentford,Crystal Palace,https://www.xscores.com/soccer/match/brentford-vs-crystal-palace/26-08-2023/2139454
2023/2024,26-08-2023,Everton,Wolverhampton,https://www.xscores.com/soccer/match/everton-vs-wolverhampton/26-08-2023/2139450
2023/2024,26-08-2023,Manchester United,Nottingham Forest,https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449
2023/2024,26-08-2023,Brighton,WestHam,https://www.xscores.com/soccer/match/brighton-vs-west-ham/26-08-2023/2139453
2023/2024,27-08-2023,Burnley,Aston Villa,https://www.xscores.com/soccer/match/burnley-vs-aston-villa/27-08-2023/2139452
2023/2024,27-08-2023,Sheffield United,Manchester City,https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-city/27-08-2023/2139447
2023/2024,27-08-2023,Newcastle,Liverpool,https://www.xscores.com/soccer/match/newcastle-vs-liverpool/27-08-2023/2139448
2023/2024,01-09-2023,Luton,WestHam,https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470
2023/2024,02-09-2023,Sheffield United,Everton,https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472
2023/2024,02-09-2023,Brentford,Bournemouth,https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445
2023/2024,02-09-2023,Burnley,Tottenham,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444
2023/2024,02-09-2023,Chelsea,Nottingham Forest,https://www.xscores.com/soccer/match/chelsea-vs-nottingham-forest/02-09-2023/2139467
2023/2024,02-09-2023,Manchester City,Fulham,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471
2023/2024,02-09-2023,Brighton,Newcastle,https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443
2023/2024,03-09-2023,Crystal Palace,Wolverhampton,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468
2023/2024,03-09-2023,Liverpool,Aston Villa,https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469
2023/2024,03-09-2023,Arsenal,Manchester United,https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446
2023/2024,16-09-2023,Wolverhampton,Liverpool,https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460
2023/2024,16-09-2023,Aston Villa,Crystal Palace,https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474
2023/2024,16-09-2023,Fulham,Luton,https://www.xscores.com/soccer/match/fulham-vs-luton/16-09-2023/2139466
2023/2024,16-09-2023,Manchester United,Brighton,https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465
2023/2024,16-09-2023,Tottenham,Sheffield United,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457
2023/2024,16-09-2023,WestHam,Manchester City,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456
2023/2024,16-09-2023,Newcastle,Brentford,https://www.xscores.com/soccer/match/newcastle-vs-brentford/16-09-2023/2139459
2023/2024,17-09-2023,Bournemouth,Chelsea,https://www.xscores.com/soccer/match/bournemouth-vs-chelsea/17-09-2023/2139473
2023/2024,17-09-2023,Everton,Arsenal,https://www.xscores.com/soccer/match/everton-vs-arsenal/17-09-2023/2139475
2023/2024,18-09-2023,Nottingham Forest,Burnley,https://www.xscores.com/soccer/match/nottingham-forest-vs-burnley/18-09-2023/2139458
2023/2024,23-09-2023,Crystal Palace,Fulham,https://www.xscores.com/soccer/match/crystal-palace-vs-fulham/23-09-2023/2139485
2023/2024,23-09-2023,Luton,Wolverhampton,https://www.xscores.com/soccer/match/luton-vs-wolverhampton/23-09-2023/2139483
2023/2024,23-09-2023,Manchester City,Nottingham Forest,https://www.xscores.com/soccer/match/manchester-city-vs-nottingham-forest/23-09-2023/2139482
2023/2024,23-09-2023,Brentford,Everton,https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462
2023/2024,23-09-2023,Burnley,Manchester United,https://www.xscores.com/soccer/match/burnley-vs-manchester-united/23-09-2023/2139464
2023/2024,24-09-2023,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461
2023/2024,24-09-2023,Brighton,Bournemouth,https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463
2023/2024,24-09-2023,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/24-09-2023/2139476
2023/2024,24-09-2023,Liverpool,WestHam,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484
2023/2024,24-09-2023,Sheffield United,Newcastle,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481
2023/2024,30-09-2023,Aston Villa,Brighton,https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479
2023/2024,30-09-2023,Bournemouth,Arsenal,https://www.xscores.com/soccer/match/bournemouth-vs-arsenal/30-09-2023/2139480
2023/2024,30-09-2023,Everton,Luton,https://www.xscores.com/soccer/match/everton-vs-luton/30-09-2023/2139478
2023/2024,30-09-2023,Manchester United,Crystal Palace,https://www.xscores.com/soccer/match/manchester-united-vs-crystal-palace/30-09-2023/2139495
2023/2024,30-09-2023,Newcastle,Burnley,https://www.xscores.com/soccer/match/newcastle-vs-burnley/30-09-2023/2139496
2023/2024,30-09-2023,WestHam,Sheffield United,https://www.xscores.com/soccer/match/west-ham-vs-sheffield-united/30-09-2023/2139499
2023/2024,30-09-2023,Wolverhampton,Manchester City,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/30-09-2023/2139500
2023/2024,30-09-2023,Tottenham,Liverpool,https://www.xscores.com/soccer/match/tottenham-vs-liverpool/30-09-2023/2139498
2023/2024,01-10-2023,Nottingham Forest,Brentford,https://www.xscores.com/soccer/match/nottingham-forest-vs-brentford/01-10-2023/2139497
2023/2024,02-10-2023,Fulham,Chelsea,https://www.xscores.com/soccer/match/fulham-vs-chelsea/02-10-2023/2139477
2023/2024,07-10-2023,Luton,Tottenham,https://www.xscores.com/soccer/match/luton-vs-tottenham/07-10-2023/2139489
2023/2024,07-10-2023,Burnley,Chelsea,https://www.xscores.com/soccer/match/burnley-vs-chelsea/07-10-2023/2139492
2023/2024,07-10-2023,Everton,Bournemouth,https://www.xscores.com/soccer/match/everton-vs-bournemouth/07-10-2023/2139487
2023/2024,07-10-2023,Fulham,Sheffield United,https://www.xscores.com/soccer/match/fulham-vs-sheffield-united/07-10-2023/2139488
2023/2024,07-10-2023,Manchester United,Brentford,https://www.xscores.com/soccer/match/manchester-united-vs-brentford/07-10-2023/2139490
2023/2024,07-10-2023,Crystal Palace,Nottingham Forest,https://www.xscores.com/soccer/match/crystal-palace-vs-nottingham-forest/07-10-2023/2139486
2023/2024,08-10-2023,Brighton,Liverpool,https://www.xscores.com/soccer/match/brighton-vs-liverpool/08-10-2023/2139493
2023/2024,08-10-2023,WestHam,Newcastle,https://www.xscores.com/soccer/match/west-ham-vs-newcastle/08-10-2023/2139491
2023/2024,08-10-2023,Wolverhampton,Aston Villa,https://www.xscores.com/soccer/match/wolverhampton-vs-aston-villa/08-10-2023/2139501
2023/2024,08-10-2023,Arsenal,Manchester City,https://www.xscores.com/soccer/match/arsenal-vs-manchester-city/08-10-2023/2139494
2023/2024,21-10-2023,Liverpool,Everton,https://www.xscores.com/soccer/match/liverpool-vs-everton/21-10-2023/2139510
2023/2024,21-10-2023,Bournemouth,Wolverhampton,https://www.xscores.com/soccer/match/bournemouth-vs-wolverhampton/21-10-2023/2139502
2023/2024,21-10-2023,Brentford,Burnley,https://www.xscores.com/soccer/match/brentford-vs-burnley/21-10-2023/2139512
2023/2024,21-10-2023,Manchester City,Brighton,https://www.xscores.com/soccer/match/manchester-city-vs-brighton/21-10-2023/2139509
2023/2024,21-10-2023,Newcastle,Crystal Palace,https://www.xscores.com/soccer/match/newcastle-vs-crystal-palace/21-10-2023/2139508
2023/2024,21-10-2023,Nottingham Forest,Luton,https://www.xscores.com/soccer/match/nottingham-forest-vs-luton/21-10-2023/2139507
2023/2024,21-10-2023,Chelsea,Arsenal,https://www.xscores.com/soccer/match/chelsea-vs-arsenal/21-10-2023/2139511
2023/2024,21-10-2023,Sheffield United,Manchester United,https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-united/21-10-2023/2139506
2023/2024,22-10-2023,Aston Villa,WestHam,https://www.xscores.com/soccer/match/aston-villa-vs-west-ham/22-10-2023/2139503
2023/2024,23-10-2023,Tottenham,Fulham,https://www.xscores.com/soccer/match/tottenham-vs-fulham/23-10-2023/2139505
2023/2024,27-10-2023,Crystal Palace,Tottenham,https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/27-10-2023/2139528
2023/2024,28-10-2023,Chelsea,Brentford,https://www.xscores.com/soccer/match/chelsea-vs-brentford/28-10-2023/2139527
2023/2024,28-10-2023,Arsenal,Sheffield United,https://www.xscores.com/soccer/match/arsenal-vs-sheffield-united/28-10-2023/2139524
2023/2024,28-10-2023,Bournemouth,Burnley,https://www.xscores.com/soccer/match/bournemouth-vs-burnley/28-10-2023/2139504
